term,estimate,std.error,statistic,p.value,model,outcome,modifier
COHORTexposed:t,-6.658826075639445e-4,1.9666652444269838e-4,11.463954597222646,7.095913687367172e-4,PCRSC402,BMI,sex
sex_categoryMale:t,-4.631267064665505e-4,1.5650487192230168e-4,8.756769702020256,0.003084549095096145,PCRSC402,BMI,sex
COHORTunexposed:sex_categoryMale:t,3.0768410698680414e-4,1.9711097633437312e-4,2.436623955553075,0.11853108528321832,PCRSC402,BMI,sex
COHORTexposed:sex_categoryMale:t,9.382745707443782e-4,3.331861816359843e-4,7.930232668670982,0.0048615545187274956,PCRSC402,BMI,sex
(Intercept),2.8574584767630706,0.11228443809782128,647.6206918977139,0,PCRSC402,BMI,age
COHORTunexposed,-0.020211280515272788,0.052744172406735325,0.14683807920208206,0.7015755031381612,PCRSC402,BMI,age
COHORTexposed,0.3034628379026899,0.06464332715575281,22.037566069996767,2.673660351004692e-6,PCRSC402,BMI,age
age_category40 to 64,0.21501899577632722,0.06500498836095947,10.941082396101502,9.405520662665312e-4,PCRSC402,BMI,age
age_category65 plus,0.2526600928226387,0.07763943787506776,10.590306708804988,0.0011368211630634617,PCRSC402,BMI,age
t,9.246403497119211e-4,1.4881241552162022e-4,38.6071150976883,5.182964057937056e-10,PCRSC402,BMI,age
lb_bmi,0.9154856968247765,0.0013733530066495946,444363.89170018473,0,PCRSC402,BMI,age
age,-0.012288074541185133,0.0010232096890474003,144.22428230837912,0,PCRSC402,BMI,age
antihypertensives,0.08554762647127476,0.01630933383747027,27.51335071023998,1.5601382441499112e-7,PCRSC402,BMI,age
nhblack,0.1556886315065438,0.019601102740679034,63.0888763363833,1.9984014443252818e-15,PCRSC402,BMI,age
hispanic,0.1042509849114169,0.020955267704933032,24.749926106192724,6.527130331779318e-7,PCRSC402,BMI,age
smoking,0.032542673143810256,0.02417855045726954,1.8115316537974913,0.17832460278895212,PCRSC402,BMI,age
siteSource2,-0.09496942279239513,0.0274073800117753,12.006945903790019,5.300264194609827e-4,PCRSC402,BMI,age
siteSource3,0.21099588959302668,0.03673246226274163,32.99498289888123,9.239699894081355e-9,PCRSC402,BMI,age
siteSource4,0.26372168547289765,0.04083533720051928,41.70800271064697,1.0597434041414999e-10,PCRSC402,BMI,age
siteSource5,-0.29425428978143026,0.03806374554854847,59.7616476790835,1.0658141036401503e-14,PCRSC402,BMI,age
siteSource6,-0.17771758466894833,0.11374167116250238,2.441302492888103,0.11817806176836998,PCRSC402,BMI,age
siteSource7,0.1911180332478268,0.05421645161198991,12.426280552741366,4.2333416657436285e-4,PCRSC402,BMI,age
hospitalization,-0.5622026487565176,0.01996560579745741,792.9043319535336,0,PCRSC402,BMI,age
hba1c,-0.013084715671317899,0.011355799604428368,1.3276791649378383,0.24921851674947426,PCRSC402,BMI,age
serum_creatinine,-0.059123870840103704,0.00790097978435794,55.9968784567371,7.260858581048524e-14,PCRSC402,BMI,age
hdl,-2.7113374847663625e-4,7.934700877233478e-4,0.11676321323685328,0.7325719109155586,PCRSC402,BMI,age
ldl,-9.07624543192117e-5,3.3655521834052615e-4,0.07272769188938966,0.7874058927364095,PCRSC402,BMI,age
percent_test_results_reported_positive_last_7_days,-7.179257137240533e-4,5.733699566618052e-4,1.5677945520038288,0.21052758748767064,PCRSC402,BMI,age
Cases_per_100k_7_day_count_sum,4.223061112289328e-7,3.282737775985575e-6,0.0165494035716422,0.8976389646468029,PCRSC402,BMI,age
COHORTunexposed:age_category40 to 64,0.2853772411174195,0.06660790008545325,18.356386191403615,1.832038772309197e-5,PCRSC402,BMI,age
COHORTexposed:age_category40 to 64,0.0035588992926279136,0.08358500405881458,0.001812903393179743,0.9660377710056371,PCRSC402,BMI,age
COHORTunexposed:age_category65 plus,0.2028288006175502,0.06977405280421169,8.450284795163789,0.003649862813213667,PCRSC402,BMI,age
COHORTexposed:age_category65 plus,-0.20585394878305438,0.09058572461027486,5.164150364766159,0.02305773356375196,PCRSC402,BMI,age
COHORTunexposed:t,-1.938096713510144e-4,1.94096800735041e-4,0.9970435678875521,0.31802693692047734,PCRSC402,BMI,age
COHORTexposed:t,-3.390590407562738e-4,2.8882790519774534e-4,1.3780734230266904,0.2404295862177408,PCRSC402,BMI,age
age_category40 to 64:t,-7.206466878291189e-4,1.8767827969472483e-4,14.744048877782609,1.2313557046572665e-4,PCRSC402,BMI,age
age_category65 plus:t,-0.0010594275181111546,1.9529259982813718e-4,29.428689627567728,5.801244462588784e-8,PCRSC402,BMI,age
COHORTunexposed:age_category40 to 64:t,-4.453638335268926e-4,2.4393227456362486e-4,3.3334301739221535,0.06788515826527497,PCRSC402,BMI,age
COHORTexposed:age_category40 to 64:t,7.85192275910728e-5,3.780750171184682e-4,0.043131650401750266,0.8354775790712937,PCRSC402,BMI,age
COHORTunexposed:age_category65 plus:t,-5.876789558599507e-4,2.472207669147903e-4,5.650805771919913,0.017447353294556378,PCRSC402,BMI,age
COHORTexposed:age_category65 plus:t,3.529063891544894e-5,4.058324610132704e-4,0.007561805086883692,0.9307043879445621,PCRSC402,BMI,age
(Intercept),3.170137123717928,0.11882015329468203,711.8293310667729,0,PCRSC402,BMI,raceeth
COHORTunexposed,-0.044517315375483035,0.060642521737586545,0.5388940982362328,0.4628914096680862,PCRSC402,BMI,raceeth
COHORTexposed,0.01998154677455323,0.07426632137576525,0.07238930095789654,0.787889206404468,PCRSC402,BMI,raceeth
raceeth_categoryNH Black,-0.20371603156738555,0.07752055954204182,6.905841673665962,0.008591457188522389,PCRSC402,BMI,raceeth
raceeth_categoryNH White,-0.32960882340152636,0.06454506990994588,26.077833420929245,3.2792724935504225e-7,PCRSC402,BMI,raceeth
t,-1.8363291197621076e-4,1.71550202883072e-4,1.1458257299251597,0.2844246784113922,PCRSC402,BMI,raceeth
lb_bmi,0.9161442320806698,0.0014566250142051733,395578.04152867425,0,PCRSC402,BMI,raceeth
age,-0.010914079977187421,4.686101102767644e-4,542.4390607318059,0,PCRSC402,BMI,raceeth
antihypertensives,0.10514060282071079,0.01667017074659231,39.7796382192265,2.8429358867043675e-10,PCRSC402,BMI,raceeth
smoking,0.04294220185927531,0.024534782974514523,3.0634033062401804,0.08007379287100991,PCRSC402,BMI,raceeth
siteSource2,-0.09769306239982015,0.027461929340356864,12.65509345539248,3.7454387223123664e-4,PCRSC402,BMI,raceeth
siteSource3,0.1724711383418472,0.03741765914110276,21.246120031822738,4.039271809586076e-6,PCRSC402,BMI,raceeth
siteSource4,0.2353992722825905,0.04253979180004387,30.621010032964154,3.136785386992358e-8,PCRSC402,BMI,raceeth
siteSource5,-0.2779033229357268,0.036691464077514245,57.36637354042306,3.6193270602780103e-14,PCRSC402,BMI,raceeth
siteSource6,-0.22646277644920462,0.10621082998163563,4.546278637223802,0.0329903738427233,PCRSC402,BMI,raceeth
siteSource7,0.19723457126578278,0.05664226406346739,12.125087242393446,4.974800393057199e-4,PCRSC402,BMI,raceeth
hospitalization,-0.5902692891098092,0.01993083551918533,877.1005148184267,0,PCRSC402,BMI,raceeth
hba1c,0.0019192932283299653,0.011756907585320442,0.02664995334934511,0.8703230688105402,PCRSC402,BMI,raceeth
serum_creatinine,-0.048265459405476226,0.009279327324537085,27.054524134606396,1.9779675808351271e-7,PCRSC402,BMI,raceeth
hdl,-0.0015509864922214887,7.821594561971595e-4,3.9321079347219574,0.04737252943705028,PCRSC402,BMI,raceeth
ldl,1.6089615484204047e-4,3.386476574952655e-4,0.22573306522751665,0.6347059061415978,PCRSC402,BMI,raceeth
percent_test_results_reported_positive_last_7_days,-0.0010400466851858325,5.904911416152939e-4,3.1022650109971015,0.07818344678713196,PCRSC402,BMI,raceeth
Cases_per_100k_7_day_count_sum,1.3796334759154947e-6,3.3828298307273887e-6,0.16632868120067493,0.6833954514951781,PCRSC402,BMI,raceeth
COHORTunexposed:raceeth_categoryNH Black,0.2528450575050787,0.08474649010307082,8.901547152641031,0.0028492913716965385,PCRSC402,BMI,raceeth
COHORTexposed:raceeth_categoryNH Black,0.3215701325029154,0.10511701143465386,9.358481779140156,0.002219559235193458,PCRSC402,BMI,raceeth
COHORTunexposed:raceeth_categoryNH White,0.29069636115030134,0.0701278024502264,17.182989751286232,3.394624287189618e-5,PCRSC402,BMI,raceeth
COHORTexposed:raceeth_categoryNH White,0.3076262371166349,0.08809142593892436,12.194934344517328,4.791946238515976e-4,PCRSC402,BMI,raceeth
COHORTunexposed:t,6.24022421520989e-6,2.3000686049640058e-4,7.360694766073744e-4,0.9783555681704572,PCRSC402,BMI,raceeth
COHORTexposed:t,4.7126269230710885e-4,3.1115366775114794e-4,2.2939094514188922,0.12988240790429117,PCRSC402,BMI,raceeth
raceeth_categoryNH Black:t,6.345377563319022e-4,2.3432492358779948e-4,7.332937258180556,0.006770232816791344,PCRSC402,BMI,raceeth
raceeth_categoryNH White:t,5.730203072397107e-4,2.005219576637738e-4,8.166127465135599,0.004267993453255459,PCRSC402,BMI,raceeth
COHORTunexposed:raceeth_categoryNH Black:t,-7.820751679522787e-4,3.0486370581089893e-4,6.580903830585482,0.010307853946538992,PCRSC402,BMI,raceeth
COHORTexposed:raceeth_categoryNH Black:t,-8.042864568550552e-4,4.544517273790822e-4,3.1321748249105896,0.07676127439358738,PCRSC402,BMI,raceeth
COHORTunexposed:raceeth_categoryNH White:t,-8.17894852163137e-4,2.6372046933677274e-4,9.618498233056323,0.0019262718544328372,PCRSC402,BMI,raceeth
COHORTexposed:raceeth_categoryNH White:t,-0.0011505977380861555,3.8302035725933277e-4,9.024087917870977,0.0026644484169962013,PCRSC402,BMI,raceeth
(Intercept),2.801329387770165,0.0957005824917261,856.8389341965502,0,PCRSC402,BMI,hospitalization
COHORTunexposed,0.2306486765715685,0.026438428217307085,76.1080630193611,0,PCRSC402,BMI,hospitalization
COHORTexposed,0.27329708347473747,0.03367168990691057,65.87796387931395,4.440892098500626e-16,PCRSC402,BMI,hospitalization
hospitalization,-0.40830496529279947,0.10217631866241379,15.968672716407358,6.439938880198337e-5,PCRSC402,BMI,hospitalization
t,2.7604938753491887e-4,7.102949704379874e-5,15.1041432852334,1.0173974442062583e-4,PCRSC402,BMI,hospitalization
lb_bmi,0.9218470821820369,0.0013819935762852179,444944.3763009813,0,PCRSC402,BMI,hospitalization
age,-0.0117292792319793,4.3899283723697276e-4,713.8842202760823,0,PCRSC402,BMI,hospitalization
antihypertensives,0.08683701751454138,0.01562561004244142,30.884162883627866,2.738978210903298e-8,PCRSC402,BMI,hospitalization
nhblack,0.14874423343838067,0.019099689299287115,60.649562267629634,6.772360450213455e-15,PCRSC402,BMI,hospitalization
hispanic,0.1155431584227279,0.020101270613082735,33.04010732658661,9.02772212540981e-9,PCRSC402,BMI,hospitalization
smoking,0.03235203139580909,0.024901656097540747,1.6878997492624626,0.1938780599610639,PCRSC402,BMI,hospitalization
siteSource2,-0.061529553521694716,0.027675556161184754,4.9428202040399,0.02619925556188918,PCRSC402,BMI,hospitalization
siteSource3,0.21518668850649086,0.038111181965660434,31.880561988507004,1.6394963608945545e-8,PCRSC402,BMI,hospitalization
siteSource4,0.2295878040587481,0.045125461812124304,25.88536596379836,3.623054350976318e-7,PCRSC402,BMI,hospitalization
siteSource5,-0.41428111377602567,0.03866037215098504,114.83075220717144,0,PCRSC402,BMI,hospitalization
siteSource6,-0.274761414732716,0.10277858544504723,7.14671091913323,0.007510159236477465,PCRSC402,BMI,hospitalization
siteSource7,0.1668548143514021,0.055723787670799975,8.96594822721833,0.002750579055015634,PCRSC402,BMI,hospitalization
hba1c,-0.021606408087573983,0.010277428457395883,4.419734937832128,0.03552555449782435,PCRSC402,BMI,hospitalization
serum_creatinine,-0.056081450734622326,0.0091106874282136,37.891010299605654,7.480915886759476e-10,PCRSC402,BMI,hospitalization
hdl,-2.9474010910920384e-5,7.603936481107887e-4,0.0015024551586453245,0.9690805271735333,PCRSC402,BMI,hospitalization
ldl,3.2909908653074553e-4,3.323430251996478e-4,0.9805736442043704,0.32205722367968537,PCRSC402,BMI,hospitalization
percent_test_results_reported_positive_last_7_days,-0.0013643985197372291,4.901997181575266e-4,7.747050102501534,0.005380034974158621,PCRSC402,BMI,hospitalization
Cases_per_100k_7_day_count_sum,1.1680708260710563e-6,2.5784010250110673e-6,0.20522838322123593,0.6505333364068663,PCRSC402,BMI,hospitalization
COHORTunexposed:hospitalization,-0.27549885694731785,0.10442930640144082,6.959768843948572,0.008336280242205452,PCRSC402,BMI,hospitalization
COHORTexposed:hospitalization,-0.17565658655757516,0.11725710810775726,2.2441429624435743,0.13412120024772922,PCRSC402,BMI,hospitalization
COHORTunexposed:t,-6.699450689694247e-4,9.667357633070355e-5,48.024496416600115,4.2092995755638185e-12,PCRSC402,BMI,hospitalization
COHORTexposed:t,-2.793717750467252e-4,1.4155227103233143e-4,3.8952144390869776,0.04842385697713292,PCRSC402,BMI,hospitalization
hospitalization:t,2.073649727121473e-4,3.4716372362015105e-4,0.3567813315746882,0.5502992583299078,PCRSC402,BMI,hospitalization
COHORTunexposed:hospitalization:t,4.5565884676807094e-5,3.708826010391906e-4,0.015094081590729218,0.9022195659190593,PCRSC402,BMI,hospitalization
COHORTexposed:hospitalization:t,-5.382387261136029e-5,4.985298767882317e-4,0.011656482140525521,0.9140233055239144,PCRSC402,BMI,hospitalization
