iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,Coefficient,lci,uci,exposure,modifier2,exposure_value,modifier2_value,outcome,modifier1,modifier1_value,modifier_var
Contrast 3,3.3854837866270694e-6,0.00123229299949571,-0.2643645555760823,1230607,0.0012363555800396625,0.0032859321456875333,15210.55012181688,370461.2683229067,284525.3819305599,-0.3332807371518471,-0.1954483740003175,0.03516184835926096,"-0.26 	(-0.33, -0.20)",-0.3332807371518471,-0.1954483740003175,COHORThistorical,t,1,0,bmi,NA,NA,NA
Contrast 3,0,0,0,1177645,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,raceeth_categoryNH Black,1,raceeth_category
Contrast 3,3.880371701562449e-6,0.0032978184124277166,-0.12466991841817718,1177645,0.0033024748584695915,0.0014099868254660371,81390.72300519192,2012008.8276125567,742187.4708401883,-0.23730355654919763,-0.012036280287156753,0.057467163306270753,"-0.12 	(-0.24, -0.01)",-0.23730355654919763,-0.012036280287156753,COHORTunexposed,t,1,0,bmi,raceeth_categoryNH Black,1,raceeth_category
Contrast 3,1.5201375401868429e-5,0.005461322381683217,-0.015914204674087794,1177645,0.00547956403216546,0.003329033181319213,14824.281348864164,360930.63328667695,276044.4060333746,-0.16099921686647015,0.12917080751829452,0.07402407738138625,"-0.02 	(-0.16, 0.13)",-0.16099921686647015,0.12917080751829452,COHORThistorical,t,1,100,bmi,raceeth_categoryHispanic,1,raceeth_category
Contrast 3,0,0,0,1177645,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,raceeth_categoryHispanic,1,raceeth_category
Contrast 3,4.909977426642201e-6,0.0031501768550813154,-0.05650710351713294,1177645,0.003156068827993286,0.0018668708551951693,46596.52256246672,1147708.0819144833,580705.3565075549,-0.16661584072552255,0.05360163369125666,0.056178900202774405,"-0.06 	(-0.17, 0.05)",-0.16661584072552255,0.05360163369125666,COHORTunexposed,t,1,100,bmi,raceeth_categoryHispanic,1,raceeth_category
Contrast 3,1.534692781274626e-6,0.0023341201868441156,-0.3203734023911174,1177645,0.002335961818181645,7.88382465498991e-4,259048.3801490021,6435556.067251798,994816.5185476079,-0.41510198575767565,-0.22564481902455913,0.04833178889904288,"-0.32 	(-0.42, -0.23)",-0.41510198575767565,-0.22564481902455913,COHORThistorical,t,1,100,bmi,raceeth_categoryNH White,1,raceeth_category
Contrast 3,0,0,0,1177645,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,raceeth_categoryNH White,1,raceeth_category
Contrast 3,2.04588471958228e-6,0.0014518157403583232,-0.07292434225467977,1177645,0.001454270802021822,0.0016881736607002968,56902.49954998738,1403543.092900939,639765.6733313695,-0.14766744250710584,0.0018187579977463203,0.03813490267487019,"-0.07 	(-0.15, 0.00)",-0.14766744250710584,0.0018187579977463203,COHORTunexposed,t,1,100,bmi,raceeth_categoryNH White,1,raceeth_category
Contrast 3,9.600328429924073e-6,0.005646391916340855,-0.3330438492588038,1177645,0.005657912310456765,0.0020361563565800198,39223.235194595414,964800.9944435187,529837.9596789688,-0.48047075211241763,-0.18561694640519003,0.07521909538446181,"-0.33 	(-0.48, -0.19)",-0.48047075211241763,-0.18561694640519003,COHORThistorical,t,1,100,bmi,raceeth_categoryNH Black,1,raceeth_category
Contrast 3,0,0,0,1177645,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,raceeth_categoryNH Black,1,raceeth_category
Contrast 3,3.880371701562449e-6,0.0032978184124277166,-0.12466991841817718,1177645,0.0033024748584695915,0.0014099868254660371,81390.72300519192,2012008.8276125567,742187.4708401883,-0.23730355654919763,-0.012036280287156753,0.057467163306270753,"-0.12 	(-0.24, -0.01)",-0.23730355654919763,-0.012036280287156753,COHORTunexposed,t,1,100,bmi,raceeth_categoryNH Black,1,raceeth_category
Contrast 3,2.0851177336854847e-5,0.01263610780655868,-0.07329303329561922,1230602,0.012661129219362906,0.001976238641175867,41617.919832092426,1024191.6193689868,558471.8270254523,-0.29383174072903745,0.147245674137799,0.11252168332976052,"-0.07 	(-0.29, 0.15)",-0.29383174072903745,0.147245674137799,COHORThistorical,t,1,0,bmi,hospitalization,1,hospitalization_category
Contrast 3,0,0,0,1230602,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,hospitalization,1,hospitalization_category
Contrast 3,6.47884891870576e-6,0.0034198812624329456,-0.12935263312984052,1230602,0.0034276558811353925,0.002268202810333344,31666.58447852304,777492.5261013464,476044.2422647671,-0.24410122752283964,-0.014604038736841421,0.05854618588034059,"-0.13 	(-0.24, -0.01)",-0.24410122752283964,-0.014604038736841421,COHORTunexposed,t,1,0,bmi,hospitalization,1,hospitalization_category
Contrast 3,2.742830471398903e-6,0.0011049229424421499,-0.25960485295283936,1230602,0.0011082143390078285,0.0029699999808930756,18572.275344592428,453468.4727710849,331097.61304749164,-0.32485194080882607,-0.19435776509685265,0.0332898533942075,"-0.26 	(-0.32, -0.19)",-0.32485194080882607,-0.19435776509685265,COHORThistorical,t,1,0,bmi,,1,hospitalization_category
Contrast 3,0,0,0,1230602,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,,1,hospitalization_category
Contrast 3,3.400557228881441e-6,7.137661777357818e-4,-0.02438244234499732,1230602,7.178468464104395e-4,0.005684595112540965,5179.048954386274,123782.97509761158,112411.17241761426,-0.07689561239507164,0.028130727705077005,0.026792664040935523,"-0.02 	(-0.08, 0.03)",-0.07689561239507164,0.028130727705077005,COHORTunexposed,t,1,0,bmi,,1,hospitalization_category
Contrast 3,2.0851177336854847e-5,0.01263610780655868,-0.07329303329561922,1230602,0.012661129219362906,0.001976238641175867,41617.919832092426,1024191.6193689868,558471.8270254523,-0.29383174072903745,0.147245674137799,0.11252168332976052,"-0.07 	(-0.29, 0.15)",-0.29383174072903745,0.147245674137799,COHORThistorical,t,1,100,bmi,hospitalization,1,hospitalization_category
Contrast 3,0,0,0,1230602,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,hospitalization,1,hospitalization_category
Contrast 3,6.47884891870576e-6,0.0034198812624329456,-0.12935263312984052,1230602,0.0034276558811353925,0.002268202810333344,31666.58447852304,777492.5261013464,476044.2422647671,-0.24410122752283964,-0.014604038736841421,0.05854618588034059,"-0.13 	(-0.24, -0.01)",-0.24410122752283964,-0.014604038736841421,COHORTunexposed,t,1,100,bmi,hospitalization,1,hospitalization_category
Contrast 3,2.742830471398903e-6,0.0011049229424421499,-0.25960485295283936,1230602,0.0011082143390078285,0.0029699999808930756,18572.275344592428,453468.4727710849,331097.61304749164,-0.32485194080882607,-0.19435776509685265,0.0332898533942075,"-0.26 	(-0.32, -0.19)",-0.32485194080882607,-0.19435776509685265,COHORThistorical,t,1,100,bmi,,1,hospitalization_category
Contrast 3,0,0,0,1230602,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,,1,hospitalization_category
Contrast 3,3.400557228881441e-6,7.137661777357818e-4,-0.02438244234499732,1230602,7.178468464104395e-4,0.005684595112540965,5179.048954386274,123782.97509761158,112411.17241761426,-0.07689561239507164,0.028130727705077005,0.026792664040935523,"-0.02 	(-0.08, 0.03)",-0.07689561239507164,0.028130727705077005,COHORTunexposed,t,1,100,bmi,,1,hospitalization_category
