LAB_LOINC,RAW_LAB_NAME,n
20454-5,URINALYSIS WITH CULTURE IF INDICATED,397
53115-2,T-HELPER CELLS (CD4) COUNT,71
71695-1,T-HELPER CELLS (CD4) COUNT,71
,"COTININE, URINE",390
,HEPATITIS B SURFACE ANTIBODY,432
,HEPATITIS C ANTIBODY,1220
,RUBEOLA ANTIBODY IGG,176
,QUANTIFERON-TB GOLD PLUS,2525
,"VARICELLA ZOSTER ANTIBODY, IGG",711
,"MUMPS ANTIBODY, IGG",170
62461-9,NUSWAB VAGINITIS PLUS (VG+),297
45084-1,NUSWAB VAGINITIS PLUS (VG+),297
69562-7,NUSWAB VAGINITIS PLUS (VG+),297
69563-5,NUSWAB VAGINITIS PLUS (VG+),297
32705-6,NUSWAB VAGINITIS PLUS (VG+),297
,MANUAL DIFFERENTIAL,40034
,SARS-COV-2/FLU/RSV,11640
,TYPE AND SCREEN,63850
6437-8,RAPID INFLUENZA A/B ANTIGENS,1494
31971-5,RAPID STREP SCREEN,1430
704-7,T-HELPER CELLS (CD4) COUNT,71
,ECG 12-LEAD,699909
,CHLAMYDIA SCREEN,35
,RAPID HIV 1&2 SCREEN,670
43305-2,"THINPREP TIS PAP REFLEX HPV MRNA E6/E7, CHLAMYDIA/N.GONORRHOEAE",220
43304-5,"THINPREP TIS PAP REFLEX HPV MRNA E6/E7, CHLAMYDIA/N.GONORRHOEAE",220
16130-7,"SURESWAB(R), HSV TYPE 1/2 MRNA, TMA",62
16131-5,"SURESWAB(R), HSV TYPE 1/2 MRNA, TMA",61
5196-1,HEPATITIS B SURFACE ANTIGEN,14669
43304-5,"SURESWAB(R), C. TRACHOMATIS / N. GONORRHOEAE/ T.VAGINALIS",233
43305-2,"SURESWAB(R), C. TRACHOMATIS / N. GONORRHOEAE/ T.VAGINALIS",233
46154-1,"SURESWAB(R), C. TRACHOMATIS / N. GONORRHOEAE/ T.VAGINALIS",233
2106-3,POCT URINE HCG QUALITATIVE UNSOLICITED RESULTS,2503
5804-0,POCT URINE CHEMISTRY UNSOLICITED RESULTS,7054
5792-7,POCT URINE CHEMISTRY UNSOLICITED RESULTS,7054
5770-3,POCT URINE CHEMISTRY UNSOLICITED RESULTS,7054
5797-6,POCT URINE CHEMISTRY UNSOLICITED RESULTS,7054
5802-4,POCT URINE CHEMISTRY UNSOLICITED RESULTS,7055
,"THINPREP TIS PAP, HPV MRNA E6/E7 RFX HPV 16,18/45, CHLAMYDIA/N.GONORRHOEAE",371
5792-7,URINALYSIS WITH REFLEX MICROSCOPIC,7043
53290-3,URINALYSIS WITH REFLEX MICROSCOPIC,7048
50551-1,URINALYSIS WITH REFLEX MICROSCOPIC,7051
27297-1,URINALYSIS WITH REFLEX MICROSCOPIC,7043
5802-4,URINALYSIS WITH REFLEX MICROSCOPIC,9734
5797-6,URINALYSIS WITH REFLEX MICROSCOPIC,7043
50563-6,URINALYSIS WITH REFLEX MICROSCOPIC,7042
43304-5,"C TRACHOMATIS/N GONORRHOEAE RNA, TMA, UROGENITAL",77
43305-2,"C TRACHOMATIS/N GONORRHOEAE RNA, TMA, UROGENITAL",76
43305-2,"IMAGE-GUIDED PAP W/AGE BASED SCR,W/CT/NG",275
43304-5,"IMAGE-GUIDED PAP W/AGE BASED SCR,W/CT/NG",275
,CHLAMYDIA TRACHOMATIS DNA PCR,1246
,NEISSERIA GONORRHOEAE DNA PCR,772
22322-2,HEPATITIS B SURFACE ANTIBODY,7978
13955-0,HEPATITIS C ANTIBODY,15702
94500-6,"SARS-COV-2, NAA",208508
5770-3,URINALYSIS WITH REFLEX MICROSCOPIC,2690
2514-8,URINALYSIS WITH REFLEX MICROSCOPIC,2691
5799-2,URINALYSIS WITH REFLEX MICROSCOPIC,2689
25428-4,URINALYSIS WITH REFLEX MICROSCOPIC,2311
5794-3,URINALYSIS WITH REFLEX MICROSCOPIC,2690
20454-5,URINALYSIS WITH REFLEX MICROSCOPIC,2691
713-8,CBC WITH AUTO DIFFERENTIAL,125051
706-2,"Q DIFFERENTIAL, MANUAL",105
704-7,"Q DIFFERENTIAL, MANUAL",105
711-2,CBC WITH DIFFERENTIAL,16009
713-8,CBC WITH DIFFERENTIAL,16010
706-2,CBC WITH DIFFERENTIAL,16010
2349-9,URINALYSIS WITH REFLEX MICROSCOPIC,380
6864-3,SICKLE CELL SCREEN,3027
,ANTIBODY SCREEN,3917
,AFP4-GENZYME,300
,"PROTEIN ELECTROPHORESIS, SERUM",2674
5770-3,"UA/M W/RFLX CULTURE, COMP",707
2514-8,"UA/M W/RFLX CULTURE, COMP",707
5799-2,"UA/M W/RFLX CULTURE, COMP",707
5802-4,"UA/M W/RFLX CULTURE, COMP",707
25428-4,"UA/M W/RFLX CULTURE, COMP",627
5794-3,"UA/M W/RFLX CULTURE, COMP",706
20454-5,"UA/M W/RFLX CULTURE, COMP",707
32693-4,"COTININE, URINE",1615
5804-0,URINALYSIS WITH REFLEX MICROSCOPIC,7049
91847-4,GROUP B STREP PCR,283
,VIRAL ATYPICAL PNEUMONIA PCR PANEL,6351
,"POCT URINALYSIS DIPSTICK, NON-AUTO W/O MICRO",7459
,"HEPATITIS PANEL, ACUTE",2207
82675-0,THINPREP PAP AND HPV DNA,15
,MONONUCLEOSIS SCREEN,15
8061-4,ANACHOICE(R) SCREEN WITH REFLEX,100
8061-4,ANA,37
48683-7,"GROUP B STREPTOCOCCUS COLONIZATION DETECTION, NAA",397
43304-5,C. TRACHOMATIS / N. GONORRHOEAE BY NAA,2213
43305-2,C. TRACHOMATIS / N. GONORRHOEAE BY NAA,2199
13950-1,"HEPATITIS PANEL, ACUTE",3261
24113-3,"HEPATITIS PANEL, ACUTE",3261
5196-1,"HEPATITIS PANEL, ACUTE",3254
13955-0,"HEPATITIS PANEL, ACUTE",3140
,"NEISSERIA GONORRHEA DNA, QUANTITATIVE",473
69002-4,"IMAGE-GUIDED PAP W/AGE BASED SCR,W/CT/NG",143
43304-5,IMAGE-GUIDED PAP W/AGE BASED SCR PROTOCOLS,19
43305-2,IMAGE-GUIDED PAP W/AGE BASED SCR PROTOCOLS,19
5799-2,POCT URINE CHEMISTRY UNSOLICITED RESULTS,7069
706-2,CBC WITH AUTO DIFFERENTIAL,125053
,HM COLONOSCOPY,1004
5794-3,POCT URINE CHEMISTRY UNSOLICITED RESULTS,7054
,"UA/M W/RFLX CULTURE, COMP",246
,ANA,330
43304-5,"THINPREP PAP AND HPV MRNA E6/E7, CHLAMYDIA/N.GONORRHOEAE",136
43305-2,"THINPREP PAP AND HPV MRNA E6/E7, CHLAMYDIA/N.GONORRHOEAE",136
69002-4,"THINPREP PAP AND HPV MRNA E6/E7, CHLAMYDIA/N.GONORRHOEAE",137
94563-4,"SARS-COV-2 SEROLOGY (COVID-19) ANTIBODIES (IGG, IGM), IMMUNOY",66
94564-2,"SARS-COV-2 SEROLOGY (COVID-19) ANTIBODIES (IGG, IGM), IMMUNOY",66
547-0,L - STREP GP B CULTURE - 188130 LEGACY,25
,GROUP B STREP PCR,50
69002-4,"THINPREP TIS PAP AND HPV MRNA E6/E7 REFLEX HPV 16,18/45",598
60489-2,STREP A PCR,1211
,STREP A PCR,210
31418-7,MONONUCLEOSIS SCREEN,260
,VAGINITIS PANEL,560
48159-8,HEPATITIS C ANTIBODY,2200
77400-0,HPV HIGH RISK PCR,294
77399-4,HPV HIGH RISK PCR,294
71431-1,HPV HIGH RISK PCR,294
77379-6,HPV HIGH RISK PCR,294
,POCT SARS-COV-2/FLU PCR CEPHEID,288
,POCT SARS-COV-2/FLU RAPID,1678
24111-7,NEISSERIA GONORRHOEAE DNA PCR,34
24385-7,"CARDIOLIPIN ANTIBODY, IGG",356
24386-5,"CARDIOLIPIN ANTIBODY, IGM",360
30470-9,"CARDIOLIPIN ANTIBODY, IGA",360
43304-5,"THINPREP PAP REFLEX HPV MRNA E6/E7, CHLAMYDIA/N.GONORRHOEAE",135
43305-2,"THINPREP PAP REFLEX HPV MRNA E6/E7, CHLAMYDIA/N.GONORRHOEAE",133
25428-4,URINALYSIS WITH CULTURE IF INDICATED,328
50388-8,"IGP, CTNG, RFX APTIMA HPV ASCU",101
50387-0,"IGP, CTNG, RFX APTIMA HPV ASCU",101
68961-2,RAPID HIV 1&2 SCREEN,170
81641-3,RAPID HIV 1&2 SCREEN,170
80203-3,RAPID HIV 1&2 SCREEN,170
25835-0,HIV RNA QL  083950,163
25514-1,"RUBELLA ANTIBODY, IGG",2032
22415-4,"MUMPS ANTIBODY, IGG",642
20479-2,RUBEOLA ANTIBODY IGG,651
20454-5,"UA/M W/RFLX CULTURE, ROUTINE",137
2349-9,"UA/M W/RFLX CULTURE, ROUTINE",108
5802-4,"UA/M W/RFLX CULTURE, ROUTINE",136
5770-3,"UA/M W/RFLX CULTURE, ROUTINE",136
5799-2,"UA/M W/RFLX CULTURE, ROUTINE",134
2514-8,"UA/M W/RFLX CULTURE, ROUTINE",137
5794-3,"UA/M W/RFLX CULTURE, ROUTINE",134
53115-2,CBC/DIFF AMBIGUOUS DEFAULT,718
71695-1,CBC/DIFF AMBIGUOUS DEFAULT,719
51916-5,"HSV 1 AND 2 SPECIFIC ANTIBODIES IGG, SERUM MAYO (HSVG)",235
6568-0,BV/VAGINITIS PANEL DNA PROBE,110
6410-5,BV/VAGINITIS PANEL DNA PROBE,107
47000-5,BV/VAGINITIS PANEL DNA PROBE,107
69002-4,"Q HPV MRNA E6/E7 REFLEX HPV 16, 18/45",152
94563-4,SARS-COV2 IGG N PROTEIN,5350
,CYTOPLASMIC NEUTROPHILIC ANTIBODY-MAYO,96
,ENTERIC BACTERIAL PATHOGEN PCR,340
,C.DIFFICILE SCREEN,216
,"HSV 1 AND 2 SPECIFIC ANTIBODIES IGG, SERUM MAYO (HSVG)",76
,POCT SARS-COV-2 IDNOW,342
,URINALYSIS WITH MICROSCOPIC LEGACY,1587
,CBC WITH AUTO DIFFERENTIAL,26479
,POCT OCCULT BLOOD STOOL,465
,HPV HIGH RISK PCR,209
75983-7,QNATAL(R) ADVANCED,56
77021-4,QNATAL(R) ADVANCED,56
75982-9,QNATAL(R) ADVANCED,56
75981-1,QNATAL(R) ADVANCED,56
13954-3,HEPATITIS B E ANTIGEN,60
,ANTIMITOCHONDRIAL ANTIBODY,29
,DAT POSITIVE LEGACY,87
74668-5,"SURESWAB(R), ADVANCED VAGINITIS PLUS",820
,"RUBELLA ANTIBODY, IGM",7
79177-2,C.DIFFICILE SCREEN,1414
13952-7,"HEPATITIS B CORE ANTIBODY, TOTAL",111
5799-2,URINALYSIS WITH MICROSCOPIC LEGACY,359
35492-8,MRSA PCR,8633
82205-6,PARASITE PCR PANEL,314
82207-2,PARASITE PCR PANEL,314
82208-0,PARASITE PCR PANEL,314
82196-7,ENTERIC BACTERIAL PATHOGEN PCR,816
82199-1,ENTERIC BACTERIAL PATHOGEN PCR,816
80350-2,ENTERIC BACTERIAL PATHOGEN PCR,816
82203-1,ENTERIC BACTERIAL PATHOGEN PCR,816
2335-8,"OCCULT BLOOD X 1, STOOL",2010
46154-1,"IGP,CTNGTV,RFX APTIMA HPV ASCU",31
50388-8,"IGP,CTNGTV,RFX APTIMA HPV ASCU",32
50387-0,"IGP,CTNGTV,RFX APTIMA HPV ASCU",30
94565-9,VIRAL ATYPICAL PNEUMONIA PCR PANEL,2457
82165-2,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3876
82160-3,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3875
87621-9,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82176-9,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82170-2,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82168-6,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3872
82169-4,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3873
82167-8,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3872
82174-4,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82172-8,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82173-6,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82171-0,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82163-7,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3875
82178-5,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82177-7,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82179-3,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3877
82161-1,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3876
82162-9,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3876
82164-5,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3876
82175-1,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3876
82166-0,VIRAL ATYPICAL PNEUMONIA PCR PANEL,3876
94563-4,"SARS-COV-2 ANTIBODY, IGG",42
46154-1,"IMAGE-GUIDED PAP W/AGE BASED SCR,W/CT/NG/TRICH",153
43305-2,"IMAGE-GUIDED PAP W/AGE BASED SCR,W/CT/NG/TRICH",153
43304-5,"IMAGE-GUIDED PAP W/AGE BASED SCR,W/CT/NG/TRICH",153
82675-0,"HPV DNA, HIGH RISK, CERVICAL",19
94563-4,SARS COV 2 AB SPIKE (IGG),48
2349-9,URINALYSIS WITH MICROSCOPIC LEGACY,94
,"CARDIOLIPIN ANTIBODY, IGG",66
,"CARDIOLIPIN ANTIBODY, IGM",64
,"CARDIOLIPIN ANTIBODY, IGA",60
94500-6,POCT SARS-COV-2/FLU/RSV,35
92142-9,POCT SARS-COV-2/FLU/RSV,35
92141-1,POCT SARS-COV-2/FLU/RSV,35
92131-2,POCT SARS-COV-2/FLU/RSV,35
,AMNISURE (RUPTURE OF MEMBRANE),138
10331-7,ABORH,697
890-4,ANTIBODY SCREEN,12373
,ANA IFA TITER,248
6320-6,"LYME DISEASE, WESTERN BLOT",27
6321-4,"LYME DISEASE, WESTERN BLOT",27
94500-6,POCT SARS-COV-2/FLU/RSV PCR,562
92142-9,POCT SARS-COV-2/FLU/RSV PCR,562
92141-1,POCT SARS-COV-2/FLU/RSV PCR,562
92131-2,POCT SARS-COV-2/FLU/RSV PCR,562
,LYME DISEASE PCR,20
50388-8,"IGP,CTNG,APTIMAHPV,RFX16/18,45",104
59420-0,"IGP,CTNG,APTIMAHPV,RFX16/18,45",104
50387-0,"IGP,CTNG,APTIMAHPV,RFX16/18,45",104
29891-9,H. PYLORI BREATH TEST,60
43304-5,"CT, NG, TRICH VAG BY NAA",41
43305-2,"CT, NG, TRICH VAG BY NAA",41
69937-1,"CT, NG, TRICH VAG BY NAA",41
34467-1,LIPOPROTEIN METABOLISM PROFILE-MAYO,6
35363-1,LIPOPROTEIN METABOLISM PROFILE-MAYO,6
3045-2,LIPOPROTEIN METABOLISM PROFILE-MAYO,6
66499-5,LIPOPROTEIN METABOLISM PROFILE-MAYO,6
43304-5,"THINPREP TIS PAP, HPV MRNA E6/E7 RFX HPV 16,18/45, CHLAMYDIA/N.GONORRHOEAE",108
69002-4,"THINPREP TIS PAP, HPV MRNA E6/E7 RFX HPV 16,18/45, CHLAMYDIA/N.GONORRHOEAE",108
43305-2,"THINPREP TIS PAP, HPV MRNA E6/E7 RFX HPV 16,18/45, CHLAMYDIA/N.GONORRHOEAE",108
,"ENDOMYSIAL (EMA) ANTIBODY, IGA TITER",6
,"THINPREP TIS PAP AND HPV MRNA E6/E7 REFLEX HPV 16,18/45",817
,SARS-COV2 IGG N PROTEIN,499
,POCT INFLUENZA A/B,238
,BETA-2 GLYCOPROTEIN ANTIBODIES,66
49311-4,ANA,1174
,"HEPATITIS A ANTIBODY, IGM",37
94500-6,SARS-COV2-2 PCR MAYO,65
,PROTEIN URINE DIPSTICK,20
82675-0,THINPREP TIS PAP AND HR HPV DNA,113
60489-2,POCT STREP A PCR MANUAL RESULTS,123
4576-5,THALASSEMIA AND HEMOGLOBINOPATHY EVALUATION,20
82201-5,STOOL PCR PANEL,355
80349-4,STOOL PCR PANEL,355
82196-7,STOOL PCR PANEL,355
82211-4,STOOL PCR PANEL,355
82210-6,STOOL PCR PANEL,355
82205-6,STOOL PCR PANEL,355
80350-2,STOOL PCR PANEL,355
82203-1,STOOL PCR PANEL,355
82209-8,STOOL PCR PANEL,355
82207-2,STOOL PCR PANEL,355
82208-0,STOOL PCR PANEL,355
82206-4,STOOL PCR PANEL,355
82198-3,STOOL PCR PANEL,355
82213-0,STOOL PCR PANEL,355
82212-2,STOOL PCR PANEL,355
82199-1,STOOL PCR PANEL,355
82202-3,STOOL PCR PANEL,355
82200-7,STOOL PCR PANEL,355
80348-6,STOOL PCR PANEL,355
80351-0,STOOL PCR PANEL,355
,"PRENATAL CARRIER SCREEN (CF, FRAGILE X, SMA)",121
,CYSTIC FIBROSIS MUTATION PANEL,147
,HM MAMMOGRAPHY,621
,"CHLAMYDIA/N. GONORRHOEAE DNA, SDA Q LEGACY",107
2615-3,ARTERIAL BLOOD GAS WITH CO-OXIMETRY UNSOLICITED RESULTS,8312
,"CHLAMYDIA TRACHOMATIS, NAA, MISC SITES-MAYO",12
94500-6,"SARS COV-2 RNA, QUAL NAAT - QUEST",68
20454-5,"URINALYSIS, ROUTINE W/RFX",16
2349-9,"URINALYSIS, ROUTINE W/RFX",16
5802-4,"URINALYSIS, ROUTINE W/RFX",17
5770-3,"URINALYSIS, ROUTINE W/RFX",17
5799-2,"URINALYSIS, ROUTINE W/RFX",16
2514-8,"URINALYSIS, ROUTINE W/RFX",16
5794-3,"URINALYSIS, ROUTINE W/RFX",16
58413-6,"AUTO DIFFERENTIAL, ADD ON",619
704-7,"AUTO DIFFERENTIAL, ADD ON",552
711-2,"AUTO DIFFERENTIAL, ADD ON",552
771-6,"AUTO DIFFERENTIAL, ADD ON",618
69002-4,HPV MRNA E6/E7,139
24027-5,"STREP PNEUMONIAE AG, URINE",2018
77684-9,"LEGIONELLA ANTIGEN, URINE",2101
6864-3,HEMOGLOBIN ELECTROPHORESIS,335
4576-5,HEMOGLOBIN ELECTROPHORESIS,121
4625-0,HEMOGLOBIN ELECTROPHORESIS,8
4563-3,HEMOGLOBIN ELECTROPHORESIS,4
890-4,OB PANEL W/HIV,155
5196-1,OB PANEL W/HIV,155
53115-2,OB PANEL W/HIV,43
706-2,OB PANEL W/HIV,155
713-8,OB PANEL W/HIV,155
71695-1,OB PANEL W/HIV,43
711-2,OB PANEL W/HIV,155
704-7,OB PANEL W/HIV,155
10331-7,OB PANEL W/HIV,155
1968-7,HEPATIC FUNCTION PANEL,3192
,EBV HETEROPHILE ANTIBODY,6
,"HEPATITIS B CORE ANTIBODY, IGM",43
,"DRUG PANEL, URINE",8255
,VENOUS BLOOD GAS UNSOLICITED RESULTS,1975
42483-8,"PROTEIN ELECTROPHORESIS, URINE",15
13990-7,"PROTEIN ELECTROPHORESIS, URINE",15
20507-0,RPR,25240
,SARS-COV2-2 PCR MAYO,11
,"CYTOMEGALOVIRUS ANTIBODY, IGG",26
,"TOXOPLASMA GONDII ANTIBODY, IGG",20
,CMV IGM,13
,"DIFFERENTIAL, ADD ON",1279
72174-6,"ROTAVIRUS ANTIGEN, STOOL",45
,POCT SARS-COV-2/FLU/RSV PCR,1004
,"FECAL LACTOFERRIN, QUALITATIVE",365
46154-1,"SURESWAB(R), ADVANCED VAGINITIS",113
62460-1,"SURESWAB(R), ADVANCED VAGINITIS",113
72495-5,"SURESWAB(R), ADVANCED VAGINITIS",108
74667-7,"SURESWAB(R), ADVANCED VAGINITIS",108
74762-6,"SURESWAB(R), ADVANCED VAGINITIS",108
69563-5,"SURESWAB(R), ADVANCED VAGINITIS",108
72391-6,"SURESWAB(R), ADVANCED VAGINITIS",108
25156-1,EOSINOPHIL URINE,392
,"SUREPATH FPGS PAP AND HPV MRNA E6/E7, C. TRACHOMATIS AND N. GONORRHOEAE",31
94762-2,SARS COV-2 ABS,5
92861-4,HSV/VZV LESION PCR,350
82188-4,HSV/VZV LESION PCR,175
,ANTIBODY IDENTIFICATION,869
50388-8,"PAP IG, CT-NG",24
50387-0,"PAP IG, CT-NG",24
890-4,PRENATAL PROFILE I,106
5196-1,PRENATAL PROFILE I,106
53115-2,PRENATAL PROFILE I,105
704-7,PRENATAL PROFILE I,105
71695-1,PRENATAL PROFILE I,105
10331-7,PRENATAL PROFILE I,106
29893-5,Q HIV 1/2 AB DIFF (SUPPLEMENTAL USE ONLY),4
30361-0,Q HIV 1/2 AB DIFF (SUPPLEMENTAL USE ONLY),4
,HIV1 GENOTYPIC INTEGRASE INHIBITOR DRUG RESISTANCE - MAYO,7
10900-9,HEPATITIS B SURFACE ANTIBODY,174
,"ANTI-SMOOTH MUSCLE ANTIBODY, IGG",39
,"TOXOPLASMA GONDII ANTIBODY, IGM",12
,"HEPATITIS B CORE ANTIBODY, TOTAL",99
13950-1,"HEPATITIS A ANTIBODY, IGM",113
82675-0,"SUREPATH IMAGING PAP AND HPV DNA REFLEX HPV 16,18",15
43304-5,"CHLAMYDIA/GC NAA, CONFIRMATION",132
43305-2,"CHLAMYDIA/GC NAA, CONFIRMATION",132
48683-7,"STREPTOCOCCUS GROUP B DNA, PCR WITH BROTH ENRICH W/RFX SUSCEPTIBILITY",266
10900-9,"HEPATITIS PANEL, GENERAL",21
13952-7,"HEPATITIS PANEL, GENERAL",21
742-7,CBC WITH AUTO DIFFERENTIAL,125017
,"EPSTEIN-BARR VIRUS EARLY ANTIGEN ANTIBODY, IGG",8
,MDA BHCG QUAL LEGACY,10
6864-3,SICKLE CELL SCREEN W/REFL HEMOGLOBINOPATHY EVAL,53
,CRE CULTURE,104
5792-7,URINALYSIS CHEM ONLY,220
50551-1,URINALYSIS CHEM ONLY,220
5802-4,URINALYSIS CHEM ONLY,286
5797-6,URINALYSIS CHEM ONLY,220
50563-6,URINALYSIS CHEM ONLY,220
77399-4,"Q HPV GENOTYPES 16,18/45",11
75694-0,"Q HPV GENOTYPES 16,18/45",11
6320-6,"LYME DISEASE ANTIBODIES (IGG,IGM), IMMUNOBLOT",9
6321-4,"LYME DISEASE ANTIBODIES (IGG,IGM), IMMUNOBLOT",9
21759-6,"XSENSE(R), FRAGILE X WITH REFLEX",37
21654-9,CYSTIC FIBROSIS CARRIER SCREEN,50
,FECAL IMMUNOCHEMICAL,167
,HEMOGLOBIN ELECTROPHORESIS,995
43304-5,"THINPREP PAP AND HR HPV DNA, C. TRACHOMATIS AND N. GONORRHOEAE",29
43305-2,"THINPREP PAP AND HR HPV DNA, C. TRACHOMATIS AND N. GONORRHOEAE",29
82675-0,"THINPREP PAP AND HR HPV DNA, C. TRACHOMATIS AND N. GONORRHOEAE",29
,"VARICELLA ZOSTER ANTIBODY, IGM",3
704-7,CBC/DIFF AMBIGUOUS DEFAULT,726
706-2,CBC/DIFF AMBIGUOUS DEFAULT,726
706-2,PRENATAL PROFILE I,105
71773-6,QUANTIFERON-TB GOLD PLUS,2296
,RAPID STREP SCREEN,81
,"THINPREP TIS PAP AND HPV MRNA E6/E7, CHLAMYDIA/N.GONORRHOEAE",124
,"POCT URINALYSIS DIPSTICK, AUTO W/ MICRO",738
40466-5,"HSV 1/2 AB (IGM), IFA W/RFL TO TITER SERUM",45
45210-2,"HSV 1/2 AB (IGM), IFA W/RFL TO TITER SERUM",45
