Estimate,SE,dfcom,LCI,UCI,term,exposure,modifier1,modifier2,exposure_value,modifier1_value,modifier2_value,outcome,modifier_var
-0.3087573128228674,0.06692139233665408,1084096,-0.43992324180270936,-0.17759138384302542,Contrast 2,COHORThistorical,raceeth_categoryNH White,t,1,1,0,bmi,raceeth_category
0.2971915714561036,0.048614572020563455,1084096,0.20190701029579922,0.39247613261640796,Contrast 2,COHORTexposed,raceeth_categoryNH White,t,1,1,0,bmi,raceeth_category
0.24179279488746752,0.037673901295662615,1084096,0.16795194834796878,0.31563364142696626,Contrast 2,COHORTunexposed,raceeth_categoryNH White,t,1,1,0,bmi,raceeth_category
-0.21495645681240366,0.08026681053428375,1084096,-0.3722794054595998,-0.057633508165207514,Contrast 2,COHORThistorical,raceeth_categoryNH Black,t,1,1,0,bmi,raceeth_category
0.3533938786819095,0.0771988385424586,1084096,0.20208415513869069,0.5047036022251283,Contrast 2,COHORTexposed,raceeth_categoryNH Black,t,1,1,0,bmi,raceeth_category
0.20531927720605653,0.062271903144962774,1084096,0.08326634704192949,0.3273722073701836,Contrast 2,COHORTunexposed,raceeth_categoryNH Black,t,1,1,0,bmi,raceeth_category
-0.007578567865741883,0.017684101456158584,1084096,-0.0422394067198127,0.027082270988328938,Contrast 2,COHORThistorical,raceeth_categoryHispanic,t,1,1,100,bmi,raceeth_category
0.052868952336015615,0.05776732060534388,1084096,-0.060354996050458395,0.1660929007224896,Contrast 2,COHORTexposed,raceeth_categoryHispanic,t,1,1,100,bmi,raceeth_category
-0.059814429289062276,0.04878929520998838,1084096,-0.1554414479006395,0.03581258932251494,Contrast 2,COHORTunexposed,raceeth_categoryHispanic,t,1,1,100,bmi,raceeth_category
-0.26501077530693573,0.053492986697399436,1084096,-0.3698570292338386,-0.16016452138003284,Contrast 2,COHORThistorical,raceeth_categoryNH White,t,1,1,100,bmi,raceeth_category
0.24583658912581924,0.036127045642120464,1084096,0.17502757966726312,0.31664559858437535,Contrast 2,COHORTexposed,raceeth_categoryNH White,t,1,1,100,bmi,raceeth_category
0.1639139546301387,0.029711188006851727,1084096,0.1056800261367093,0.2221478831235681,Contrast 2,COHORTunexposed,raceeth_categoryNH White,t,1,1,100,bmi,raceeth_category
-0.1475118592861637,0.06451902325416622,1084096,-0.2739691448643295,-0.021054573707997903,Contrast 2,COHORThistorical,raceeth_categoryNH Black,t,1,1,100,bmi,raceeth_category
0.3219326529333026,0.05739785194627671,1084096,0.20943286311860024,0.43443244274800497,Contrast 2,COHORTexposed,raceeth_categoryNH Black,t,1,1,100,bmi,raceeth_category
0.1335344330113475,0.05008876396812084,1084096,0.03536045563383064,0.23170841038886433,Contrast 2,COHORTunexposed,raceeth_categoryNH Black,t,1,1,100,bmi,raceeth_category
